"codigo_pais","nome_pais","sigla_pais"
4,"Afeganistão","AFG"
710,"África do Sul","ZAF"
8,"Albânia","ALB"
276,"Alemanha","DEU"
20,"Andorra","AND"
24,"Angola","AGO"
660,"Anguilla","AIA"
28,"Antígua e Barbuda","ATG"
682,"Arábia Saudita","SAU"
12,"Argélia","DZA"
32,"Argentina","ARG"
51,"Armênia","ARM"
533,"Aruba","ABW"
36,"Austrália","AUS"
40,"Áustria","AUT"
31,"Azerbaijão","AZE"
44,"Bahamas","BHS"
50,"Bangladesh","BGD"
52,"Barbados","BRB"
48,"Barein","BHR"
56,"Bélgica","BEL"
84,"Belize","BLZ"
204,"Benin","BEN"
60,"Bermuda","BMU"
112,"Bielorússia","BLR"
68,"Bolívia","BOL"
535,"Bonaire, Santo Eustáquio e Saba","BES"
70,"Bósnia-Herzegovina","BIH"
72,"Botsuana","BWA"
76,"Brasil","BRA"
96,"Brunei","BRN"
100,"Bulgária","BGR"
854,"Burkina Faso","BFA"
108,"Burundi","BDI"
64,"Butão","BTN"
132,"Cabo Verde","CPV"
120,"Camarões","CMR"
116,"Camboja","KHM"
124,"Canadá","CAN"
398,"Casaquistão","KAZ"
634,"Catar","QAT"
148,"Chade","TCD"
152,"Chile","CHL"
156,"China","CHN"
344,"China, Hong Kong","HKG"
446,"China, Macao","MAC"
196,"Chipre","CYP"
702,"Cingapura","SGP"
170,"Colômbia","COL"
174,"Comores","COM"
178,"Congo","COG"
408,"Coréia do Norte","PRK"
410,"Coréia do Sul","KOR"
384,"Costa do Marfim","CIV"
188,"Costa Rica","CRI"
191,"Croácia","HRV"
192,"Cuba","CUB"
531,"Curaçao","CUW"
208,"Dinamarca","DNK"
262,"Djibouti","DJI"
212,"Dominica","DMA"
818,"Egito","EGY"
222,"El Salvador","SLV"
784,"Emirados Árabes Unidos","ARE"
218,"Equador","ECU"
232,"Eritréia","ERI"
703,"Eslováquia","SVK"
705,"Eslovênia","SVN"
724,"Espanha","ESP"
840,"Estados Unidos da América","USA"
233,"Estônia","EST"
231,"Etiópia","ETH"
242,"Fiji","FJI"
608,"Filipinas","PHL"
246,"Finlândia","FIN"
250,"França","FRA"
266,"Gabão","GAB"
270,"Gâmbia","GMB"
288,"Gana","GHA"
268,"Geórgia","GEO"
292,"Gibraltar","GIB"
308,"Granada","GRD"
300,"Grécia","GRC"
304,"Groenlândia","GRL"
316,"Guam","GUM"
320,"Guatemala","GTM"
831,"Guernsey","GGY"
328,"Guiana","GUY"
254,"Guiana Francesa","GUF"
324,"Guiné","GIN"
226,"Guiné Equatorial","GNQ"
624,"Guiné-Bissau","GNB"
332,"Haiti","HTI"
528,"Holanda","NLD"
340,"Honduras","HND"
348,"Hungria","HUN"
887,"Iêmen","YEM"
833,"Ilha de Man","IMN"
312,"Ilha Guadalupe","GLP"
574,"Ilha Norfolk","NFK"
638,"Ilha Reunião","REU"
248,"Ilhas Alanda","ALA"
136,"Ilhas Cayman","CYM"
184,"Ilhas Cook","COK"
830,"Ilhas do Canal",
234,"Ilhas Faeroe","FRO"
238,"Ilhas Falkland","FLK"
580,"Ilhas Marianas","MNP"
584,"Ilhas Marshall","MHL"
90,"Ilhas Salomão","SLB"
796,"Ilhas Turks e Caicos","TCA"
850,"Ilhas Virgens","VIR"
92,"Ilhas Virgens Britânicas","VGB"
876,"Ilhas Wallis e Futuna","WLF"
356,"Índia","IND"
360,"Indonésia","IDN"
364,"Irã","IRN"
368,"Iraque","IRQ"
372,"Irlanda","IRL"
352,"Islândia","ISL"
376,"Israel","ISR"
380,"Itália","ITA"
388,"Jamaica","JAM"
392,"Japão","JPN"
832,"Jersey","JEY"
400,"Jordânia","JOR"
296,"Kiribati","KIR"
414,"Kuwait","KWT"
418,"Laos","LAO"
426,"Lesoto","LSO"
428,"Letônia","LVA"
422,"Líbano","LBN"
430,"Libéria","LBR"
434,"Líbia","LBY"
438,"Liechtenstein","LIE"
440,"Lituânia","LTU"
442,"Luxemburgo","LUX"
807,"Macedônia","MKD"
450,"Madagáscar","MDG"
458,"Malásia","MYS"
454,"Malauí","MWI"
462,"Maldivas","MDV"
466,"Mali","MLI"
470,"Malta","MLT"
504,"Marrocos","MAR"
474,"Martinica","MTQ"
480,"Maurício","MUS"
478,"Mauritânia","MRT"
175,"Mayotte","MYT"
484,"México","MEX"
104,"Mianma","MMR"
583,"Micronésia","FSM"
508,"Moçambique","MOZ"
498,"Moldávia","MDA"
492,"Mônaco","MCO"
496,"Mongólia","MNG"
499,"Montenegro","MNE"
500,"Montserrat","MSR"
516,"Namíbia","NAM"
520,"Nauru","NRU"
524,"Nepal","NPL"
558,"Nicarágua","NIC"
562,"Níger","NER"
566,"Nigéria","NGA"
570,"Niue","NIU"
578,"Noruega","NOR"
540,"Nova Caledônia","NCL"
554,"Nova Zelândia","NZL"
512,"Omã","OMN"
585,"Palau","PLW"
275,"Palestina","PSE"
591,"Panamá","PAN"
598,"Papua Nova Guiné","PNG"
586,"Paquistão","PAK"
600,"Paraguai","PRY"
604,"Peru","PER"
612,"Pitcairn","PCN"
258,"Polinésia Francesa","PYF"
616,"Polônia","POL"
630,"Porto Rico","PRI"
620,"Portugal","PRT"
404,"Quênia","KEN"
417,"Quirguistão","KGZ"
826,"Reino Unido","GBR"
140,"República Centro Africana","CAF"
180,"República Democrática do Congo","COD"
214,"República Dominicana","DOM"
203,"República Tcheca","CZE"
642,"Romênia","ROU"
646,"Ruanda","RWA"
643,"Rússia (Federação Russa)","RUS"
732,"Saara Ocidental","ESH"
663,"Saint Martin (parte francesa)","MAF"
534,"Saint Martin (parte holandesa)","SXM"
666,"Saint Pierre e Miquelon","SPM"
882,"Samoa","WSM"
16,"Samoa Americana","ASM"
674,"San Marino","SMR"
654,"Santa Helena","SHN"
662,"Santa Lúcia","LCA"
652,"São Bartolomeu","BLM"
659,"São Cristóvão e Nevis","KNA"
678,"São Tome e Príncipe","STP"
670,"São Vicente e Granadinas","VCT"
680,"Sark"," "
690,"Seichelles","SYC"
686,"Senegal","SEN"
694,"Serra Leoa","SLE"
688,"Sérvia","SRB"
760,"Síria","SYR"
706,"Somália","SOM"
144,"Sri Lanka","LKA"
748,"Suazilândia","SWZ"
728,"Sudão do Sul","SSD"
729,"Sudão","SDN"
752,"Suécia","SWE"
756,"Suíça","CHE"
740,"Suriname","SUR"
744,"Svalbard e Jan Mayen Islands","SJM"
762,"Tadjiquistão","TJK"
764,"Tailândia","THA"
834,"Tanzânia","TZA"
626,"Timor Leste","TLS"
768,"Togo","TGO"
772,"Tokelau","TKL"
776,"Tonga","TON"
780,"Trinidad e Tobago","TTO"
788,"Tunísia","TUN"
795,"Turcomenistão","TKM"
792,"Turquia","TUR"
798,"Tuvalu","TUV"
804,"Ucrânia","UKR"
800,"Uganda","UGA"
858,"Uruguai","URY"
860,"Uzbequistão","UZB"
548,"Vanuatu","VUT"
336,"Vaticano","VAT"
862,"Venezuela","VEN"
704,"Vietnã","VNM"
894,"Zâmbia","ZMB"
716,"Zimbábue","ZWE"
